ServiceName,Category,Description,MapTo,DisplayName,FeatureName
Active Directory,Security,Synchronize on-premises directories and enable single sign-on,,,
Active Directory B2C,Security,Synchronize on-premises directories and enable single sign-on,,,
Active Directory Domain Services,Security,Synchronize on-premises directories and enable single sign-on,,,
Advanced Threat Protection,Security,,,,
Advisor,Management and Governance,Your personalized Azure best practices recommendation engine,,,
Alert Management,,,,,
All Modules,,,,,
Analysis Services,Analytics,Enterprise-grade analytics engine as a service,,,
Annotations,,,,,
Anomaly Detector,AI + Machine Learning,Easily add anomaly detection capabilities to your apps,,,
Apache Spark,,,,,
Apache Spark Connector,,,,,
API Apps,Compute,Easily build and consume Cloud APIs,,,
API for FHIR,Databases,Easily create and deploy a FHIR service for health data solutions and interoperability,,,
API Management,Integration,"Publish APIs to developers, partners, and employees securely and at scale",,,
App Configuration,Developer Tools,"Fast, scalable parameter storage for app configuration",,,
App Service,Compute,Quickly create powerful cloud apps for web and mobile,,,
Application Gateway,Networking,"Build secure, scalable, and highly available web front ends in Azure",,,
Application Insights,Management and Governance,"Full observability into your applications, infrastructure, and network",,,
Arc Enabled Servers,Hybrid + Multicloud,Extend Azure management and services anywhere,,,
Archive Storage,Storage,Industry leading price point for storing rarely accessed data,,,
Artifacts,DevOps,"Create, host, and share packages with your team",,,
Attestation,Security,A unified solution for remotely verifying the trustworthiness of a platform and integrity of the binaries running inside it,,,
Authentication,,,,,
Authorization,,,,,
Automanage,Management and Governance,Simplify and optimize IT management with automated operations,,,
Automation,Management and Governance,Simplify cloud management with process automation,,,
AutoRest,,,,,
Autosuggest,,,,,
Avere vFXT for Azure,Storage,"Run high-performance, file-based workloads in the cloud",,,
Azure,,,,,
Backup,Storage,Simplify data protection and protect against ransomware,,,
Bastion,Networking,Private and fully managed RDP and SSH access to your virtual machines,,,
Batch,Compute,Cloud-scale job scheduling and compute management,,,
Batch AI,Compute,Cloud-scale job scheduling and compute management,,,
Bill of Materials,,,,,
Blockchain Service,Blockchain,"Build, govern, and expand consortium blockchain networks",,,
Blockchain Tokens,Blockchain,,,,
Blockchain Workbench,Blockchain,Easily prototype blockchain apps in the cloud,,,
Blueprints,Management and Governance,"Enabling quick, repeatable creation of governed environments",,,
Boards,DevOps,"Plan, track, and discuss work across your teams",,,
Bot Service,AI + Machine Learning,"Intelligent, serverless bot services that scale on demand",,,
Cloud Services,Compute,"Create highly-available, infinitely-scalable cloud applications and APIs",,,
Cloud Shell,Management and Governance,Streamline Azure administration with a browser-based shell,,,
Cognitive Services,AI + Machine Learning,Add smart API capabilities to enable contextual interactions,,,
Commerce,,,,,
Common Data Service,,,,,
Communication,Mobile,Build rich communication experiences with the same secure platform used by Microsoft Teams,,,
Compute,,,,,
Computer Vision,AI + Machine Learning,Distill actionable information from images,,,
Confluent,,,,,
Connectors,,,,,
Consumption,,,,,
Container Instances,Compute,Easily run containers on Azure without managing servers,,,
Container Registry,Containers,Store and manage container images across all types of Azure deployments,,,
Container Service,,,Container Instances,,
Content Delivery Network,Media,"Ensure secure, reliable content delivery with broad global reach",,,
Content Moderator,AI + Machine Learning,"Automated image, text, and video moderation",,,
Content Protection,Media,"Securely deliver content using AES, PlayReady, Widevine, and Fairplay",,,
Core,,,,,
Cosmos DB,Databases,Fast NoSQL database with open APIs for any scale,,,
Cost Management,Management and Governance,Manage your cloud spending with confidence,,,
Cost Management + Billing,,,Cost Management,,
Custom Image Search,,,Search,Search,
Custom Search,,,Search,Search,
Custom Vision,AI + Machine Learning,Easily customize your own state-of-the-art computer vision models for your unique use case,,,
Customer Insights,,,,,
Customer Lockbox for Microsoft Azure,,,,,
CycleCloud,Compute,"Create, manage, operate, and optimize HPC and big compute clusters of any scale",,,
Data Box,Storage,Appliances and solutions for offline data transfer to Azure​,,,
Data Catalog,Analytics,Get more value from your enterprise data assets,,,
Data Explorer,Analytics,Fast and highly scalable data exploration service,,,
Data Factory,Analytics,"Hybrid data integration at enterprise scale, made easy",,,
Data Lake Analytics,Analytics,Distributed analytics service that makes big data easy,,,
Data Lake Storage (Gen 1),Analytics,"Massively scalable, secure data lake functionality built on Azure Blob Storage",,Data Lake Storage ,(Gen 1)
Data Lake Storage (Gen 2),,,Data Lake Storage (Gen 1),Data Lake Storage ,(Gen 2)
Data Science Virtual Machines,AI + Machine Learning,Rich pre-configured environment for AI development,,,
Data Share,Analytics,A simple and safe service for sharing big data with external organizations,,,
Database for MariaDB,Databases,Managed MariaDB database service for app developers,,,
Database for MySQL,Databases,"Fully managed, scalable MySQL Database",,,
Database for PostgreSQL,Databases,"Fully managed, intelligent, and scalable PostgreSQL",,,
Database Migration Service,Databases,Simplify on-premises database migration to the cloud,,,
Databricks,AI + Machine Learning,"Fast, easy, and collaborative Apache Spark-based analytics platform",,,
Datadog,,,,,
DDoS Protection Standard,Networking,Protect your applications from Distributed Denial of Service (DDoS) attacks,,DDoS Protection,Standard
Dedicated Host,Compute,A dedicated physical server to host your Azure VMs for Windows and Linux,,,
Dedicated HSM,Security,Manage hardware security modules that you use in the cloud,,,
Deployment Manager,,,,,
Dev Spaces,,,,,
Device Provisioning Services,,,,,
Devices,,,,,
DevOps,Developer Tools,"Services for teams to share code, track work, and ship software",,,
DevTest Labs,Developer Tools,"Build, manage, and continuously deliver cloud applications—using any platform or language",,,
Digital Twins,Internet of Things,Build next-generation IoT solutions that model entire environments in real time,,,
Disk Storage,Storage,"High-performance, highly durable block storage for Azure Virtual Machines",,,
DNS,Networking,Host your DNS domain in Azure,,,
Encoding,Media,Studio grade encoding at cloud scale,,,
Entity Search,,,Search,,
Event Grid,Internet of Things,Get reliable event delivery at massive scale,,,
Event Hubs,Analytics,Receive telemetry from millions of devices,,,
ExpressRoute,Networking,Dedicated private network fiber connections to Azure,,,
Extensions on qpid-proton-j library,,,,,
Face,AI + Machine Learning,"Detect, identify, analyze, organize, and tag faces in photos",,,
Features,,,,,
Firewall,Networking,"Native firewalling capabilities with built-in high availability, unrestricted cloud scalability, and zero maintenance",,,
Firewall Manager,Networking,"Central network security policy and route management for globally distributed, software-defined perimeters",,,
Form Recognizer,AI + Machine Learning,The AI-powered document extraction service that understands your forms,,,
Frontdoor,Networking,"Secure, fast, and reliable cloud CDN with intelligent threat protection",,,
Functions,Compute,Process events with serverless code,,,
FXT Edge Filer,Storage,Hybrid storage optimization solution for HPC environments,,,
Guest Configuration,,,,,
HDInsight,Analytics,"Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters",,,
Health Bot,AI + Machine Learning,A managed service purpose-built for development of virtual healthcare assistants,,,
Help + support,,,,,
HPC Cache,Storage,File caching for high-performance computing (HPC),,,
Hybrid Compute,,,,,
Identity,Identity,"Manage user identities and access to protect against advanced threats across devices, data, apps, and infrastructure",,,
Image Search,,,Search,,
Information Protection,Identity,"Better protect your sensitive information—anytime, anywhere",,,
Ink Recognizer,,,,,
Internet Analyzer,Networking,Test how networking infrastructure changes will impact your customers' performance.,,,
Intune,,,,,
IoT,Internet of Things,"Connect assets or environments, discover insights, and drive informed actions to transform your business",,,
IoT Central,Internet of Things,Accelerate the creation of IoT solutions,,,
IoT Edge,Internet of Things,Extend cloud intelligence and analytics to edge devices managed by Azure IoT Hub,,,
IoT Hub,Internet of Things,"Connect, monitor, and manage IoT assets with a scalable platform",,,
IoT Plug and Play,,,,,
IoT solution accelerators,Internet of Things,Create fully customizable solutions with templates for common IoT scenarios,,,
Key Vault,Security,Safeguard and maintain control of keys and other secrets,,,
Kinect Developer Kit,Mixed Reality,Build computer vision and speech models using a developer kit with advanced AI sensors,,,
Kubernetes Configuration,,,,,
Kubernetes Service,Compute,"Simplify the deployment, management, and operations of Kubernetes",,,
Lab Services,Developer Tools,"Set up labs for classrooms, trials, development and testing, and other scenarios",,,
Language Understanding,AI + Machine Learning,Teach your apps to understand commands from your users,,,
Lighthouse,Management and Governance,Empowering service providers to manage customers at scale and with precision,,,
Linux Virtual Machines,Compute,"Provision virtual machines for Ubuntu, Red Hat, and more",,,
Live and On-Demand Streaming,Media,Deliver content to virtually all devices with scale to meet business needs,,,
Load Balancer,,,,,
Locks,,,,,
Log Analytics,,,Monitor,,
Logic Apps,Internet of Things,Automate the access and use of data across clouds without writing code,,,
Machine Learning,AI + Machine Learning,"Bring AI to everyone with an end-to-end, scalable, trusted platform with experimentation and model management",,,
Machine Learning Studio,,,Machine Learning,,
Maintenance,,,,,
Managed Applications,Management and Governance,Simplify management of cloud offerings,,,
Managed Disks,,,,,
Managed Service Identity,,,,,
Managed Services,,,,,
Management,,,,,
Management Groups,,,,,
Maps,Mobile,Simple and secure location APIs provide geospatial context to data,,,
Marketplace,,,,,
Marketplace  Ordering,,,,,
Media Player,Media,A single player for all your playback needs,,,
Media Services,Media,"Encode, store, and stream video and audio at scale",,,
Metrics Advisor,AI + Machine Learning,An AI service that monitors metrics and diagnoses issues,,,
Microsoft Authentication Library,,,,,
Microsoft Azure portal,Management and Governance,"Build, manage, and monitor all Azure products in a single, unified console",,,
Microsoft Genomics,AI + Machine Learning,Power genome sequencing & research insights,,,
Microsoft Graph,,,,,
Migrate,Management and Governance,"Easily discover, assess, right-size, and migrate your on-premises VMs to Azure",,,
Mixed Reality,Mixed Reality,"Blend your physical and digital worlds to create immersive, collaborative experiences",,,
Mobile Apps,Web,Build and host the backend for any mobile app,,,
Monitor,Management and Governance,"Full observability into your applications, infrastructure, and network",,,
MySQL,,,Database for MySQL,,
NetApp Files,Storage,"Enterprise-grade Azure file shares, powered by NetApp",,,
Network Watcher,Management and Governance,Network performance monitoring and diagnostics solution,,,
News Search,,,Search,,
Notification Hubs,Internet of Things,Send push notifications to any platform from any back end,,,
Open Datasets,AI + Machine Learning,Cloud platform to host and share curated open datasets to accelerate development of machine learning models,,,
Operational Insights,,,,,
Operations Management,,,,,
Parent,,,,,
Peering Service,,,,,
Personalizer,AI + Machine Learning,An AI service that delivers a personalized user experience,,,
Pipelines,DevOps,"Continuously build, test, and deploy to any platform and cloud",,,
Plugin,,,,,
Policy,Management and Governance,Implement corporate governance and standards at scale for Azure resources,,,
Policy Insights,,,,,
PostgreSQL,,,Database for PostgreSQL,,
Power Apps,,,,,
Power Automate,,,,,
Power BI,,,,,
Power BI Dedicated,,,,,
Private DNS,,,,,
Private Link,Networking,"Private access to services hosted on the Azure platform, keeping your data on the Microsoft network",,,
QnA Maker,AI + Machine Learning,"Distill information into conversational, easy-to-navigate answers",,,
R Server for HDInsight,Analytics,"Predictive analytics, machine learning, and statistical modeling for big data",,,
Recovery Services,,,,,
Red Hat OpenShift (ARO),,,,,
Redis Cache,Databases,"Accelerate applications with high-throughput, low-latency data caching",,Azure Cache for Redis,
Redis,Databases,"Accelerate applications with high-throughput, low-latency data caching",,Azure Cache for Redis,
Redis Enterprise,,,Redis Cache,,
Relay,,,,,
Remote Rendering,Mixed Reality,"Render high-quality, interactive 3D content, and stream it to your devices in real time",,,
Repos,DevOps,"Get unlimited, cloud-hosted private Git repos for your project",,,
Reservations,,,,,
Resource Explorer,,,,,
Resource Graph,,,,,
Resource Health,,,,,
Resource Manager,Management and Governance,Simplify how you manage your app resources,,,
Resource Manager templates,Management and Governance,Deliver infrastructure as code for all your Azure resources using Resource Manager,,,
Resource Mover,Management and Governance,Simplify how you move multiple resources between Azure regions,,,
Resources,,,,,
Other,,,,,
RTOS,Internet of Things,Making embedded IoT development and connectivity easy,,,
Samples,,,,,
SAP HANA on Azure,,,,,
Scheduler,,,,,
Search,AI + Machine Learning,AI-powered cloud search service for mobile and web app development,,,
Security Center,Security,Unify security management and enable advanced threat protection across hybrid cloud workloads,,,
Sentinel,Security,Put cloud-native SIEM and intelligent security analytics to work to help protect your enterprise,,,
Server Management,,,,,
Service Bus,Integration,Connect across private and public cloud environments,,,
Service Fabric,Compute,Develop microservices and orchestrate containers on Windows or Linux,,,
Service Health,Management and Governance,Personalized guidance and support for when issues in Azure services affect you,,,
Service Runtime,,,,,
Session Manager,,,,,
SignalR,Web,Add real-time web functionalities easily,,,
Site Recovery,Management and Governance,Keep your business running with built-in disaster recovery service,,,
Spatial Anchors,Mixed Reality,"Create multi-user, spatially aware mixed reality experiences",,,
Speaker Recognition,AI + Machine Learning,A Speech service feature that verifies and identifies speakers,,,
Speech Translation,AI + Machine Learning,Easily integrate real-time speech translation to your app,,,
Spell Check,,,,,
Sphere,Internet of Things,Securely connect embedded MCU-powered devices from silicon to cloud,,,
Spring Boot,,,,,
Spring Cloud,Compute,"A fully managed Spring Cloud service, jointly built and operated with Vmware",,,
SQL,,,,,
SQL Database,Databases,"Managed, intelligent SQL in the cloud",,,
SQL Database Edge,Databases,Consume Services privately on Azure Platform,,,
SQL Managed Instance,Databases,"Managed, always up-to-date SQL instance in the cloud",,,
SQL Server on Virtual Machines,Databases,Host enterprise SQL Server apps in the cloud,,,
SQL Virtual Machine,,,SQL Server on Virtual Machines,,
Stack,Hybrid + Multicloud,Build and run innovative hybrid applications across cloud boundaries,,,
Stack Edge,Hybrid + Multicloud,"An Azure managed device that brings the compute, storage, and intelligence of Azure to the edge",,,
Stack HCI,Hybrid + Multicloud,"Run your production workloads on hybrid, familiar hyperconverged infrastructure",,,
Storage,Storage,REST-based object storage for unstructured data,,,
Storage Cache,,,,,
Storage Explorer,Storage,View and interact with Azure Storage resources,,,
Storsimple,Storage,Lower costs with an enterprise hybrid cloud storage solution,,,
Stream Analytics,Analytics,Real-time analytics on fast moving streams of data from applications and devices,,,
Subscription,,,,,
SVC Management,,,,,
Synapse Analytics,Analytics,Limitless analytics service with unmatched time to insight,,,
Tables,,,Storage,,
Template,,,,,
Test Plans,DevOps,Test and ship with confidence with a manual and exploratory testing toolkit,,,
Text Analytics,AI + Machine Learning,Easily evaluate sentiment and topics to understand what users want,,,
Time Series Insights,Internet of Things,"Monitor, analyze, and visualize your industrial IoT data at scale",,,
Tomcat,,,,,
TPM Software Stack,,,,,
Tracing Logger Utility,,,,,
Traffic Manager,Networking,Route incoming traffic for high performance and availability,,,
Translator,AI + Machine Learning,Easily conduct machine translation with a simple REST API call,,,
Utility,,,,,
Video Indexer,AI + Machine Learning,Unlock video insights,,,
Video Search,,,Search,,
Virtual Machine Scale Sets,Compute,Manage and scale up to thousands of Linux and Windows virtual machines,,,
Virtual Machines,Compute,Provision Windows and Linux virtual machines in seconds,,,
Virtual Network,Networking,"Provision private networks, optionally connect to on-premises datacenters",,,
Virtual WAN,Networking,Optimize and automate branch to branch connectivity through Azure,,,
Visual Search,,,Search,,
Visual Studio,Developer Tools,The powerful and flexible environment for developing applications in the cloud,,,
Visual Studio App Center,Developer Tools,,,,
Visual Studio Code,Developer Tools,"A powerful, lightweight code editor for cloud development",,,
Visual Studio Online,Developer Tools,,,,
VMWare by CloudSimple,Compute,,,,
VMware Solution,Compute,Run your VMware workloads natively on Azure,,,
VPN Gateway,Networking,"Establish secure, cross-premises connectivity",,,
Web App for Containers,Containers,Easily deploy and run containerized web apps that scale with your business,,,
Web Apps,Compute,Quickly create and deploy mission critical web apps at scale,,,
Web Search,,,Search,,
WebJobs,Web,,,,
Windows 10 IoT Core Services,Internet of Things,Long-term OS support and services to manage device updates and assess device health,,,
Windows Virtual Desktop,,"The best virtual desktop experience, delivered on Azure",,,
Xamarin,Mobile,Create cloud-powered mobile apps faster,,,
Azure Spring Boot Bom,,,,,
Azure Spring Cloud Dependencies,,,,,
Azure Stack,,,,,
Azure Stack HCI,,,,,
Billing,,,,,
Change Analysis,,,,,
Connected Cluster,,,,,
Data Box Edge,,,,,
Delegated Network,,,,,
HANA on Azure,,,,,
Hybrid Cloud Compute,,,,,
Image Builder,,,,,
IoT Device Update,Internet of Things,,,,
Machine Learning Services,AI + Machine Learning,,,,
MariaDB,Databases,,,,
Marketplace Agreements,,,,,
Peering,,,,,
Storage Import/Export,,,,,
Support,,,,,
Vmware Solution by CloudSimple,,,,,
Video Analyzer,,,,,
Web PubSub,Web,,,,